whiskey,user
kilchoman-2009,129
mortlach-15-year-old-gm,128
chichibu-on-the-way,128
old-pulteney-navigator,128
mackinlays-shackleton,127
aberlour-abunadh-batch-39,127
auchentoshan-21-year-old,127
the-peat-monster-3rd-edition-cb,127
glen-garioch-1998,127
glen-garioch-1995,126
glenrothes-alba-reserve,126
kilchoman-2011-spring-release,126
aultmore-25-year-old,126
macallan-reflexion,125
glenfarclas-40-year-old,124
royal-brackla-21-year-old,123
bushmills-21-year-old,123
timorous-beastie-18-year-old-dl,122
bruichladdich-2009-the-organic,122
glenturret-10-year-old-peat-smoked,122
mackmyra-skrdetid,121
balblair-1989,121
aberlour-abunadh-batch-37,121
macallan-gold,120
glenfiddich-caoran-reserve,120
amrut-08-year-old,120
glenfiddich-excellence,119
kilchoman-10th-anniversary-release,119
springbank-18-year-old,117
an-cnoc-1975,115
aberlour-abunadh-batch-34,115
oban-21-year-old,115
the-singleton-of-dufftown-12-year-old,115
balblair-16-year-old,114
bowmore-small-batch,114
macallan-21-year-old,113
knappogue-castle-12-year-old,112
an-cnoc-flaughter,111
tomatin-decades-ii,111
kininvie-1990,110
benromach-05-year-old,110
mortlach-special-strength,110
longmorn-the-distillers-choice,109
bowmore-mizunara-cask-finish,109
the-double-single-third-edition-cb,108
aberlour-abunadh-batch-38,108
the-singleton-of-glen-ord-12-year-old,107
mackinlays-shackletons-journey-rare-old-highland-malt,107
old-pulteney-25-year-old,107
an-cnoc-2000,106
balblair-2000,106
aberlour-abunadh-batch-42,106
no-name-n-2-cb,106
glenlivet-ndurra-peated,105
aberlour-abunadh-batch-35,105
aberlour-abunadh-batch-32,105
tormore-14-year-old,105
penderyn-celt,104
the-deveron-18-year-old,104
glen-scotia-21-year-old,104
bushmills-sherry-cask-reserve,104
caol-ila-2008,103
glengoyne-cask-strength-100-proof,103
mackmyra-mack,102
green-spot-chteau-montelena,102
an-cnoc-rutter,101
benriach-20-year-old,101
aultmore-21-year-old,101
stronachie-10-year-old-dr,100
cardhu-amber-rock,100
penderyn-peated,100
aberlour-abunadh-batch-30,99
mackmyra-vinterdrm,98
macallan-classic-cut,98
oban-18-year-old,98
arran-12-year-old,97
macallan-17-year-old,96
benromach-2012,95
bowmore-1995-wy,95
glenlivet-alpha,94
amrut-madeira-finish,94
yamazaki-limited-edition-2015,94
bruichladdich-2010,94
glencadam-15-year-old,93
kilchoman-2016,92
mackmyra-iskristall,92
glenfiddich-the-original,92
aberlour-abunadh-batch-69,92
balvenie-15-year-old,91
benriach-cask-strength,89
cragganmore-1988,89
highland-park-12-year-old,89
highland-park-magnus,89
benriach-35-year-old,88
glen-grant-five-decades,88
bruichladdich-organic,88
aberlour-abunadh-batch-33,88
writers-tears-red-head,87
octomore-edition-112-1396-ppm,87
big-peat-christmas-edition-dl,86
hven-seven-stars,86
mackmyra-special-07,86
glenglassaugh-octaves-classic-batch-2,86
the-last-vatted-malt-nas-cb,86
stronachie-18-year-old-dr,86
yamazaki-mizunara,85
mackmyra-midnattssol,85
glenburgie-10-year-old-gm,85
mars-2011,85
bladnoch-19-year-old,85
white-oak-nas,84
glenglassaugh-evolution,84
timorous-beastie-10-year-old-dl,84
connemara-turf-mr,83
aberlour-abunadh-batch-48,83
oban-little-bay,82
tyrconnell-10-year-old,82
balblair-10-year-old,82
tomatin-2005-c-bcan,82
yamazaki-1990,82
glenlivet-ndurra,81
miyagikyo-12-year-old,81
benromach-organic,80
yoichi-12-year-old,79
amrut-100,79
bruichladdich-the-organic,79
glen-garioch-1997,78
yamazaki-limited-edition-2016,78
tomatin-15-year-old,77
kininvie-23-year-old,77
bladnoch-samsara,76
the-matsui-mizunara-cask,76
kiln-embers-nas-wy,76
hven-tychos-star,75
blue-spot-07-year-old,75
isle-of-jura-21-year-old,74
bladnoch-adela,73
mackmyra-midvinter,73
aberlour-abunadh-batch-36,73
the-matsui-sakura-cask,72
macallan-rare-cask,72
arran-the-sherry-cask-finish,71
ben-nevis-1990,71
johnnie-walker-xr-21,71
port-charlotte-10-year-old,71
glen-grant-25-year-old-gm,70
tomatin-1995,70
tyrconnell-10-year-old-port,70
glenrothes-25-year-old,69
the-peat-monster-1st-edition-cb,69
glenfiddich-reserve-cask,68
bushmills-black-bush,68
glendronach-1995,68
glen-garioch-1991,66
benriach-heart-of-speyside,66
hakushu-heavily-peated,66
taketsuru-pure-malt,66
port-charlotte-2013,66
aberlour-abunadh-batch-40,65
talisker-10-year-old,64
tullibardine-aged-oak-edition,63
glen-garioch-virgin-oak-no-2,63
glenrothes-bourbon-cask-reserve,62
bushmills-10-year-old,61
tomatin-1989-c-bcan,60
redbreast-mano-a-lmh,59
benromach-2011-sassicaia,59
mackmyra-special-05,59
eleuthera-nas-cb,58
bladnoch-1993-gm,58
flaming-heart-10th-anniversary-cb,58
arran-pomerol-bordeaux,58
ledaig-1972,58
an-cnoc-16-year-old,58
karuizawa-1990,57
glenglassaugh-octaves-peated,57
glencadam-25-year-old,57
teerenpeli-08-year-old,57
arran-madeira-finish,57
mackmyra-special-08,57
tamdhu-30-year-old-gm,56
smgen-2011,55
amrut-peated-indian,55
hibiki-21-year-old,54
knappogue-castle-14-year-old,53
isle-of-jura-12-year-old,53
tomatin-cask-strength,53
auchentoshan-valinch,53
westland-sherry-wood,53
yamazaki-bourbon-barrel,53
54951,52
aberlour-10-year-old,52
glenrothes-manse-reserve,51
amrut-portonova,51
mackmyra-moment-krsbr,51
glendalough-07-year-old,50
auchentoshan-virgin-oak-batch-two,49
mcclellands-speyside,49
glen-moray-2006,48
arran-1998,48
glen-breton-rare-10-year-old,48
yamazaki-distillers-reserve,48
glencadam-origin-1825,48
stronachie-12-year-old-dr,47
macallan-cask-strength,47
cragganmore-limited-release-2016,47
glenrothes-1998,47
bunnahabhain-darach-r,47
sheep-dip-1990,46
glenrothes-peated-cask-reserve,46
the-singleton-of-glen-ord-15-year-old,46
high-coast-dlvve,46
balcones-texas-single-malt-whisky-1,45
mcclellands-islay,45
glenrothes-1995,45
yamazaki-puncheon,45
auchentoshan-the-bartenders-malt,44
tullamore-dew-10-year-old,44
velvet-fig-blended-malt-scotch-whisky,44
hibiki-12-year-old,44
teerenpeli-karhi,43
macallan-30-year-old,43
hakushu-sherry-cask,42
blair-athol-2008-ad,42
amrut-double-cask,42
mcclellands-highland,42
tomintoul-25-year-old,41
inchgower-14-year-old,41
glenrothes-ministers-reserve,41
tullibardine-1993,41
pigs-nose-05-year-old,41
strathmill-1988,41
the-peat-monster-cask-strength-cb,41
westland-peated,40
glenlivet-ndurra-1st-fill-selection,40
