Whisky$links$whiskey
Macallan 10yo Full Proof 57% 1980 (OB, Giovinetti & Figli)$https://www.whiskybase.com/whiskies/whisky/8627/macallan-10-year-old$macallan-10-year-old
Ledaig 42yo Dusgadh$https://www.whiskybase.com/whiskies/whisky/65422/ledaig-1972$ledaig-1972
Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)$https://www.whiskybase.com/whiskies/whisky/633/laphroaig-1980$laphroaig-1980
Glenfarclas 40yo$https://www.whiskybase.com/whiskies/whisky/86648/glenfarclas-40-year-old$glenfarclas-40-year-old
Glengoyne 25yo$https://www.whiskybase.com/whiskies/whisky/53814/glengoyne-25-year-old$glengoyne-25-year-old
Amrut Spectrum (Batch 1)$https://www.whiskybase.com/whiskies/whisky/77825/amrut-spectrum$amrut-spectrum
Highland Park 25yo$https://www.whiskybase.com/whiskies/whisky/73617/highland-park-25-year-old$highland-park-25-year-old
Highland Park 40yo$https://www.whiskybase.com/whiskies/whisky/1706/highland-park-40-year-old$highland-park-40-year-old
Tamdhu 30yo (MacPhail Collection 2009)$https://www.whiskybase.com/whiskies/whisky/369/tamdhu-30-year-old-gm$tamdhu-30-year-old-gm
Balvenie TUN 1401 (all batches)$https://www.whiskybase.com/whiskies/whisky/22143/balvenie-tun-1401$balvenie-tun-1401
Kavalan Solist Oloroso Sherry Cask$https://www.whiskybase.com/whiskies/whisky/125388/kavalan-solist$kavalan-solist
Aberlour A'Bunadh (Batch 33)$https://www.whiskybase.com/whiskies/whisky/19355/aberlour-abunadh-batch-33$aberlour-abunadh-batch-33
Aberlour A'Bunadh (Batch 37)$https://www.whiskybase.com/whiskies/whisky/25292/aberlour-abunadh-batch-37$aberlour-abunadh-batch-37
Highland Park 30yo$https://www.whiskybase.com/whiskies/whisky/317/highland-park-30-year-old$highland-park-30-year-old
Laphroaig 25yo$https://www.whiskybase.com/whiskies/whisky/118318/laphroaig-25-year-old$laphroaig-25-year-old
Nikka Single Cask Coffey Malt 12yo$https://www.whiskybase.com/whiskies/whisky/57604/nikka-12-year-old$nikka-12-year-old
Aberlour A'Bunadh (Batch 40)$https://www.whiskybase.com/whiskies/whisky/33240/aberlour-abunadh-batch-40$aberlour-abunadh-batch-40
Yamazaki 18yo$https://www.whiskybase.com/whiskies/whisky/164176/yamazaki-18-year-old$yamazaki-18-year-old
Aberlour A'Bunadh (Batch 49)$https://www.whiskybase.com/whiskies/whisky/57862/aberlour-abunadh-batch-49$aberlour-abunadh-batch-49
Redbreast 21yo$https://www.whiskybase.com/whiskies/whisky/45186/redbreast-21-year-old$redbreast-21-year-old
Yamazaki Sherry Cask (all vintages)$https://www.whiskybase.com/whiskies/whisky/6261/yamazaki-1990$yamazaki-1990
Aberlour A'Bunadh (Batch 56)$https://www.whiskybase.com/whiskies/whisky/84729/aberlour-abunadh-batch-56$aberlour-abunadh-batch-56
Bruichladdich 21yo Cuvée 407 PX$https://www.whiskybase.com/whiskies/whisky/38486/bruichladdich-cuve-407$bruichladdich-cuve-407
Compass Box Last Vatted Malt$https://www.whiskybase.com/whiskies/whisky/27762/the-last-vatted-malt-nas-cb$the-last-vatted-malt-nas-cb
Amrut Greedy Angels (8yo and 10yo)$https://www.whiskybase.com/whiskies/whisky/100523/amrut-08-year-old$amrut-08-year-old
