,Fresh Fruit,Added on,Sweaty,Member ratings,Bottled for,Wishlist num,Leafy,Oily,Bottler,Collection,All Rating,Whiskybase ID,Kippery,Citric,Sherried,Mossy,Nutty,Toasted,Plastic,Solvent,Barcode,Medicinal,Coal-gas,Husky,Yeasty,Hay-like,Leathery,Vegetative,Dried Fruit,Calculated age,Category,Strength,Casktype,Green-House,New Wood,Number of bottles,Honey,Price,Bottled,Distillery,Vanilla,Malt Extract,Vintage,Cooked Fruit,Tobacco,Chocolate,Bottle code,Casknumber,Stated Age,Smokey,Market,Cooked Vegetable,Old Wood,Cooked Mash,Rubbery,Votes,Size,Fragant,Sandy,Bottling serie,Label
208,0,05 Aug 2010 5:45 pm,0,28,NaN,11,0,0,Distillery Bottling,25,93.92,WB17644,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,0,NaN,Single Malt,54.1 % Vol.,Sherry Hogshead,0,0,379,0,€ 49521.54,2001,Macallan,0,0,1961,0,0,0,NaN,1127+1581,NaN,0,NaN,0,0,0,0,28,50 ml 700 ml,0,0,NaN,NaN
209,0,20 Feb 2008 3:29 pm,0,57,NaN,37,0,0,Kingsbury (Kb),34,93.92,WB1525,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,47.4 % Vol.,Hogshead,0,0,228,0,€ 2644.94,09.2000,Ardbeg,0,0,09.03.1973,0,0,1,NaN,NaN,27 years old,0,NaN,0,0,0,0,57,700 ml,0,0,Celtic Series,NaN
210,0,07 Jun 2011 7:44 pm,0,108,NaN,47,0,0,Distillery Bottling,98,93.91,WB22628,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,48.5 % Vol.,Pedro Ximénez Sherry Puncheon,0,0,583,0,€ 7499.09,07.2011,Glendronach,0,0,25.02.1971,0,0,0,NaN,1436,40 years old,0,NaN,0,0,0,0,108,700 ml,1,0,Single Cask - Batch 4,NaN
211,2,15 Oct 2008 1:46 pm,0,38,NaN,31,0,2,Samaroli (Sa),28,93.91,WB4074,0,2,0,1,0,0,0,0,NaN,1,1,0,0,1,1,0,0,NaN,Single Malt,48.0 % Vol.,NaN,0,2,240,2,€ 2820.42,NaN,Springbank,1,1,1973,0,1,0,NaN,NaN,16 years old,2,NaN,0,0,0,0,38,750 ml,0,0,NaN,NaN
212,0,05 Aug 2010 5:47 pm,0,24,NaN,7,0,0,Distillery Bottling,18,93.91,WB17645,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,80 (proof),Matured in Sherry Wood,0,0,NaN,0,€ 6834.55,NaN,Macallan,0,0,1960,0,0,0,NaN,NaN,NaN,0, Italy,0,0,0,0,24,750 ml,0,0,"80 proof, 26 2/3 FL OZ, FLLI Rinaldi Import","Campbell, Hope & KIng, Elgin"
213,0,12 Mar 2010 12:14 pm,0,26,NaN,18,0,0,Distillery Bottling,20,93.9,WB14393,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,52.0 % Vol.,Bourbon Oak Cask,0,0,NaN,0,€ 3675.27,02.1997,Springbank,0,0,02.1966,0,0,0,NaN,1966 476,NaN,0,NaN,0,0,0,0,26,700 ml,0,0,Local Barley,NaN
214,0,14 May 2010 2:18 pm,0,25,Soffiantino Import,11,0,0,Distillery Bottling,5,93.9,WB15932,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,57.8 % Vol.,Sherry Casks,0,0,NaN,0,€ 1250.00,NaN,Bowmore,0,0,1965,0,0,0,NaN,NaN,NaN,0, Italy,0,0,0,0,25,750 ml,0,0,Islay Pure Malt,Cream label printed in grey & red
215,0,15 Oct 2009 9:05 pm,0,34,NaN,17,0,0,Distillery Bottling,32,93.9,WB11197,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,43.2 % Vol.,Bourbon Cask,0,0,300,0,€ 25500.75,2003,Bowmore,0,0,11.11.1964,0,0,0,NaN,NaN,38 years old,0,NaN,0,0,0,0,34,700 ml 750 ml,0,0,The Trilogy Series,NaN
216,0,07 Nov 2009 4:15 pm,0,32,NaN,8,0,0,Gordon & MacPhail (GM),16,93.9,WB11464,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,40.0 % Vol.,Sherry Casks,0,0,NaN,0,€ 7033.50,1994,Macallan,0,0,1950,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,32,700 ml,0,0,Speymalt,NaN
217,0,11 Jul 2010 10:34 am,0,113,NaN,34,0,0,Distillery Bottling,110,93.89,WB16916,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,51.5 % Vol.,Oloroso Sherry Butt,0,0,396,0,€ 8734.02,06.2010,Glendronach,0,0,02.03.1972,0,0,0,NaN,718,38 years old,0,NaN,1,0,0,0,113,700 ml,0,0,Single Cask - Batch 2,NaN
