$whisky$title$links
0$Macallan 10yo Full Proof 57% 1980 (OB, Giovinetti & Figli)$Macallan 10-year-old - Ratings and reviews - Whiskybase$https://www.whiskybase.com/whiskies/whisky/8627/macallan-10-year-old
1$Ledaig 42yo Dusgadh$Ledaig 1972 - Ratings and reviews - Whiskybase$https://www.whiskybase.com/whiskies/whisky/65422/ledaig-1972
2$Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)$Laphroaig 1980 - Ratings and reviews - Whiskybase$https://www.whiskybase.com/whiskies/whisky/633/laphroaig-1980
3$Glenfarclas 40yo$Glenfarclas 40-year-old - Ratings and reviews - Whiskybase$https://www.whiskybase.com/whiskies/whisky/86648/glenfarclas-40-year-old
4$Glengoyne 25yo$Glengoyne 25-year-old - Ratings and reviews - Whiskybase$https://www.whiskybase.com/whiskies/whisky/53814/glengoyne-25-year-old
5$Amrut Spectrum (Batch 1)$Amrut Spectrum - Ratings and reviews - Whiskybase$https://www.whiskybase.com/whiskies/whisky/77825/amrut-spectrum
6$Highland Park 25yo$Highland Park 25-year-old - Ratings and reviews$https://www.whiskybase.com/whiskies/whisky/73617/highland-park-25-year-old
7$Highland Park 40yo$Highland Park 40-year-old - Ratings and reviews$https://www.whiskybase.com/whiskies/whisky/1706/highland-park-40-year-old
8$Tamdhu 30yo (MacPhail Collection 2009)$Tamdhu 30-year-old GM - Ratings and reviews - Whiskybase$https://www.whiskybase.com/whiskies/whisky/369/tamdhu-30-year-old-gm
9$Balvenie TUN 1401 (all batches)$Balvenie Tun 1401 - Ratings and reviews - Whiskybase$https://www.whiskybase.com/whiskies/whisky/22143/balvenie-tun-1401
10$Kavalan Solist Oloroso Sherry Cask$Kavalan Solist - Ratings and reviews - Whiskybase$https://www.whiskybase.com/whiskies/whisky/125388/kavalan-solist
11$Aberlour A'Bunadh (Batch 33)$Aberlour A'bunadh batch #33 - Ratings and reviews$https://www.whiskybase.com/whiskies/whisky/19355/aberlour-abunadh-batch-33
12$Aberlour A'Bunadh (Batch 37)$Aberlour A'bunadh batch #37 - Ratings and reviews$https://www.whiskybase.com/whiskies/whisky/25292/aberlour-abunadh-batch-37
13$Highland Park 30yo$Highland Park 30-year-old - Ratings and reviews$https://www.whiskybase.com/whiskies/whisky/317/highland-park-30-year-old
14$Laphroaig 25yo$Laphroaig 25-year-old - Ratings and reviews - Whiskybase$https://www.whiskybase.com/whiskies/whisky/118318/laphroaig-25-year-old
15$Nikka Single Cask Coffey Malt 12yo$Nikka 12-year-old - Ratings and reviews - Whiskybase$https://www.whiskybase.com/whiskies/whisky/57604/nikka-12-year-old
16$Aberlour A'Bunadh (Batch 40)$Aberlour A'bunadh batch #40 - Ratings and reviews$https://www.whiskybase.com/whiskies/whisky/33240/aberlour-abunadh-batch-40
17$Yamazaki 18yo$Yamazaki 18-year-old - Ratings and reviews - Whiskybase$https://www.whiskybase.com/whiskies/whisky/164176/yamazaki-18-year-old
18$Aberlour A'Bunadh (Batch 49)$Aberlour A'bunadh batch #49 - Ratings and reviews$https://www.whiskybase.com/whiskies/whisky/57862/aberlour-abunadh-batch-49
